Rocket Launch

Time:  4.3 s	Height: 314.4782564 m	V: 38.9458577 m/s	a: -16.6947417  m/s^2	Force:-0.7167690 N	Mass:0.04293 kg
Time:  4.4 s	Height: 318.2114410 m	V: 37.3318460 m/s	a: -16.1401161  m/s^2	Force:-0.6929568 N	Mass:0.04293 kg
Time:  4.5 s	Height: 321.7883652 m	V: 35.7692415 m/s	a: -15.6260450  m/s^2	Force:-0.6708857 N	Mass:0.04293 kg
Time:  4.6 s	Height: 325.2137986 m	V: 34.2543341 m/s	a: -15.1490742  m/s^2	Force:-0.6504076 N	Mass:0.04293 kg
Time:  4.7 s	Height: 328.4921707 m	V: 32.7837211 m/s	a: -14.7061297  m/s^2	Force:-0.6313903 N	Mass:0.04293 kg
Time:  4.8 s	Height: 331.6275981 m	V: 31.3542742 m/s	a: -14.2944697  m/s^2	Force:-0.6137161 N	Mass:0.04293 kg
Time:  4.9 s	Height: 334.6239091 m	V: 29.9631099 m/s	a: -13.9116429  m/s^2	Force:-0.5972799 N	Mass:0.04293 kg
Time:  5.0 s	Height: 337.4846656 m	V: 28.6075645 m/s	a: -13.5554535  m/s^2	Force:-0.5819873 N	Mass:0.04293 kg
Time:  5.1 s	Height: 340.2131827 m	V: 27.2851714 m/s	a: -13.2239309  m/s^2	Force:-0.5677538 N	Mass:0.04293 kg
Time:  5.2 s	Height: 342.8125468 m	V: 25.9936411 m/s	a: -12.9153032  m/s^2	Force:-0.5545033 N	Mass:0.04293 kg
Time:  5.3 s	Height: 345.2856312 m	V: 24.7308436 m/s	a: -12.6279752  m/s^2	Force:-0.5421672 N	Mass:0.04293 kg
Time:  5.4 s	Height: 347.6351105 m	V: 23.4947928 m/s	a: -12.3605081  m/s^2	Force:-0.5306838 N	Mass:0.04293 kg
Time:  5.5 s	Height: 349.8634737 m	V: 22.2836324 m/s	a: -12.1116034  m/s^2	Force:-0.5199974 N	Mass:0.04293 kg
Time:  5.6 s	Height: 351.9730361 m	V: 21.0956237 m/s	a: -11.8800872  m/s^2	Force:-0.5100575 N	Mass:0.04293 kg
Time:  5.7 s	Height: 353.9659495 m	V: 19.9291339 m/s	a: -11.6648979  m/s^2	Force:-0.5008186 N	Mass:0.04293 kg
Time:  5.8 s	Height: 355.8442121 m	V: 18.7826265 m/s	a: -11.4650747  m/s^2	Force:-0.4922394 N	Mass:0.04293 kg
Time:  5.9 s	Height: 357.6096773 m	V: 17.6546517 m/s	a: -11.2797477  m/s^2	Force:-0.4842826 N	Mass:0.04293 kg
